무인교통단속카메라관리번호,시도명,시군명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
H5685,경기도,성남시,시도,23번,중앙공원로32번길,3,경기도 성남시 분당구 서현동 289-4,37.3784477,127.1312862,현대 424동 앞 어린이보호구역(분당초)(분당초교→효자촌현대),2,30,2.0,2022,경기도남부경찰청,031-888-3952,2025-09-08
H3416,경기도,성남시,지방도,3번,안양판교로,3,경기도 성남시 분당구 운중동 213-1,37.3908589,127.0618771,운중교차로 앞(의왕→판교),1,60,99.0,2022,경기도남부경찰청,031-888-3952,2025-09-08
H6688,경기도,성남시,시도,3번,양현로,3,경기도 성남시 분당구 야탑동 327-1,37.4143226,127.1413117,주공3단지정문 어린이보호구역(뽀뽀뽀유치원)(여수동입구사거리→도촌사거리),2,30,2.0,2022,경기도남부경찰청,031-888-3952,2025-09-08
H2848,경기도,성남시,시도,3번,판교원로,3,경기도 성남시 분당구 운중동 927번지,37.3889372,127.0785225,산운초교 정문 앞 어린이보호구역(서울진주초대교회→판교중학교),2,30,2.0,2022,경기도남부경찰청,031-888-3952,2025-09-08
H6272,경기도,성남시,시도,3번,양현로,3,경기도 성남시 분당구 이매동 129-2,37.3932006,127.1250487,안말초교 어린이보호구역(양현사거리→안말사거리),2,30,2.0,2022,경기도남부경찰청,031-888-3952,2025-09-08
H5668,경기도,성남시,시도,3번,판교원로,3,경기도 성남시 분당구 판교동 638-3,37.3862288,127.0916355,판교초교정문 앞 어린이보호구역(낙생고교→판교초삼거리),1,30,2.0,2022,경기도남부경찰청,031-888-3952,2025-09-08
J3296,경기도,성남시,시도,57번,판교로,3,경기도 성남시 분당구 야탑동 162번지 목련마을,37.4057956,127.1446055,상탑초교 앞 삼거리 어린이보호구역(분당테크노파크→하탑중학교),2,30,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J3298,경기도,성남시,시도,100,내정로165번길,3,경기도 성남시 분당구 수내동 31,37.3752405,127.1171485,초림어린이공원 앞 어린이보호구역(초림초교)(수내역→수내동우체국),2,30,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J3300,경기도,성남시,시도,3번,판교원로82번길,3,경기도 성남시 분당구 운중동 922-4,37.3887858,127.0754469,판교원2사거리 어린이보호구역(산운초교)(서판교터널→운중도서관),1,30,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
H5672,경기도,성남시,시도,3번,돌마로476번길,3,경기도 성남시 분당구 서현동 303번지,37.3749498,127.1352549,서당초교 앞 어린이보호구역(서현역→분당등기소),1,30,2.0,2022,경기도남부경찰청,031-888-3952,2025-09-08
J2604,경기도,성남시,지방도,3,서현로,3,경기도 성남시 분당구 서현동 234번지,37.38354287,127.1324418,안골입구사거리(서현로)(서당사거리→판교IC),2,60,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J2606,경기도,성남시,지방도,23번,대왕판교로,3,경기도 성남시 분당구 궁내동 198-38,37.36339562,127.1018407,"쇳골마을입구삼거리 1,2차로(용인→판교IC)",2,60,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J2607,경기도,성남시,지방도,23번,대왕판교로,3,경기도 성남시 분당구 궁내동 198-38,37.36339562,127.1018407,"쇳골마을입구삼거리 3,4차로(용인→판교IC)",2,60,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J2608,경기도,성남시,시도,23번,운중로,3,경기도 성남시 분당구 운중동 941번지,37.39124253,127.0785341,운중동복지센터사거리(운중로)(의왕→낙생고교),2,50,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J1552,경기도,성남시,시도,6,구미로,3,경기도 성남시 분당구 구미동 303-1,37.33805601,127.1179471,구미어린이공원 입구 앞 어린이보호구역(구미초교)(오리역→구미파출소),2,30,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J1553,경기도,성남시,시도,6,미금로,3,경기도 성남시 분당구 구미동 95-3,37.34831101,127.1160101,벌말공원 앞 어린이보호구역(미금초교)(청솔마을→오리초교),2,30,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J0527,경기도,성남시,시도,5,미금로,3,경기도 성남시 분당구 구미동 303-1,37.3366242,127.1167035,가나안교회 앞 어린이보호구역(구미초교)(죽전도서관→미금역),2,30,2.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
J0528,경기도,성남시,시도,100,성남대로407번길,3,경기도 성남시 분당구 정자동 95-2,37.3724442,127.1061545,늘푸른고교교차로 어린이보호구역(정자초교)(백궁삼거리→늘푸른고교),2,30,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J0491,경기도,성남시,시도,7,성남대로,3,경기도 성남시 분당구 금곡동 222번지,37.3502127,127.1087722,미금역사거리(정자역→오리역),1,60,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
J0768,경기도,성남시,시도,61,돌마로,3,경기도 성남시 분당구 야탑동 197-1,37.4129459,127.1438896,동원SK삼거리(성은학교→중원구청),2,60,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
분당운중-A-120,경기도,성남시,기타,342,운중로,3,경기도 성남시 분당구 운중동 893,37.39215,127.06807,운중초등학교 정문,4,0,2.0,2021,경기도 성남시청,031-729-8743,2025-11-11
분당삼평-A-36,경기도,성남시,기타,57,동판교로,3,경기도 성남시 분당구 삼평동 706-2,37.405111,127.115452,송현초등학교 정문,4,0,2.0,2021,경기도 성남시청,031-729-8743,2025-11-11
분당백현-D-1,경기도,성남시,지방도,3,대왕판교로,3,경기도 성남시 분당구 백현동 532,37.395498,127.110364,동안교삼거리-우측,4,0,2.0,2011,경기도 성남시청,031-729-8743,2025-11-11
분당백현-D-3,경기도,성남시,기타,23,판교역로,3,경기도 성남시 분당구 백현동 530,37.394499,127.108334,환승주차장삼거리-하행,4,0,2.0,2011,경기도 성남시청,031-729-8743,2025-11-11
J5975,경기도,성남시,시도,3,판교역로,3,경기도 성남시 분당구 백현동 528번지,37.3894901,127.1086731,판교노인종합복지관 앞 노인보호구역(판교역→판교어린이도서관),2,30,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J5976,경기도,성남시,시도,34,판교역로,3,경기도 성남시 분당구 백현동 528번지,37.38999401,127.1091851,판교노인종합복지관 건너편 노인보호구역(판교어린이도서관→판교역),2,30,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
분당백현-D-4,경기도,성남시,기타,3번,분당내곡로,3,경기도 성남시 분당구 백현동 534,37.39546,127.11213,광장삼거리백범초교 앞,4,0,99.0,2011,경기도 성남시청,031-729-8743,2025-11-11
분당백현-D-5,경기도,성남시,기타,31,분당내곡로,3,경기도 성남시 분당구 백현동 542-3,37.392714,127.11321,광장삼거리 석운고교 앞,4,0,1.0,2011,경기도 성남시청,031-729-8743,2025-11-11
분당백현-D-6,경기도,성남시,기타,3번,판교역로,3,경기도 성남시 분당구 백현동 541,37.392795,127.112088,광장삼거리 석운고교 건너편,4,0,99.0,2011,경기도 성남시청,031-729-8743,2025-11-11
분당백현-D-7,경기도,성남시,기타,3,판교역로,3,경기도 성남시 분당구 백현동 541,37.392795,127.112088,보평중 북측,4,0,2.0,2011,경기도 성남시청,031-729-8743,2025-11-11
분당백현-D-8,경기도,성남시,지방도,3번,서현로,3,경기도 성남시 분당구 백현동 555-1,37.391551,127.110266,보평중 서측,4,0,2.0,2011,경기도 성남시청,031-729-8743,2025-11-11
분당백현-D-9,경기도,성남시,기타,3,동판교로,3,경기도 성남시 분당구 백현동 551,37.388336,127.115039,백현사거리 율곡초교,4,0,2.0,2011,경기도 성남시청,031-729-8743,2025-11-11
분당백현-D-10,경기도,성남시,지방도,1,대왕판교로,3,경기도 성남시 분당구 백현동 472-271,37.37695,127.102028,국지도23호KIS건너편,4,0,99.0,2011,경기도 성남시청,031-729-8743,2025-11-11
분당백현-D-11,경기도,성남시,기타,23번,판교역로,3,경기도 성남시 분당구 백현동 530번지,37.393799,127.109593,알파리움 국민은행 옆,4,0,2.0,2020,경기도 성남시청,031-729-8743,2025-11-11
J2595,경기도,성남시,시도,,서현로,3,경기도 성남시 분당구 백현동 541번지,37.39265366,127.1120371,느티나무사거리(서현로)(판교IC→매송사거리),2,60,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J2596,경기도,성남시,시도,,서현로,3,경기도 성남시 분당구 이매동 127-10,37.38972621,127.1232887,"풍림아이원 앞 사거리  1,2차로(이매사거리→판교IC)",2,60,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J2601,경기도,성남시,시도,,서현로,3,경기도 성남시 분당구 이매동 127-10,37.38972621,127.1232887,"풍림아이원 앞 사거리  3,4차로(이매사거리→판교IC)",2,60,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J5716,경기도,성남시,시도,,구미로173번길,3,경기도 성남시 분당구 구미동 297-2번지,37.3470075,127.1241069,서울시니어타워 노인보호구역(분당서울대병원→구미중학교),2,30,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J3407,경기도,성남시,시도,,미금로,1,경기도 성남시 분당구 금곡동 215,37.3525691,127.1122198,성원아파트 앞 어린이보호구역(이솔유치원)(청솔마을사거리→까치마을사거리),2,30,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
J6428,경기도,성남시,시도,,동판교로,3,경기도 성남시 분당구 삼평동 718-7,37.4028682,127.1170058,봇들마을4단지 앞 어린이보호구역(삼평유치원)(삼평중학교→송현초교),2,30,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J6941,경기도,성남시,시도,,성남대로,3,경기도 성남시 분당구 수내동 40-4,37.37584101,127.1125081,정자사거리(분당구청→정자역),2,60,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J3374,경기도,성남시,시도,,서현로,3,경기도 성남시 분당구 서현동 280-1,37.3887965,127.1237422,LG분당에클라트1차 앞(양현사거리→이매사거리),2,60,99.0,2023,경기도남부경찰청,031-888-3952,2025-09-08
J5736,경기도,성남시,지방도,,대왕판교로,3,경기도 성남시 분당구 궁내동 205-20번지,37.36934429,127.1014205,궁내빌딩 앞(낙생고교→금곡IC),2,60,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J5737,경기도,성남시,시도,,판교로,3,경기도 성남시 분당구 운중동 1017-3번지,37.39043324,127.0852897,하산운사거리(성내미터널→남서울CC),2,50,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J4553,경기도,성남시,시도,,미금로,3,경기도 성남시 분당구 구미동 303-1,37.3356564,127.1177352,대림아파트1단지 정문 어린이보호구역(오리초교→죽전도서관),2,30,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J4555,경기도,성남시,시도,,장미로,3,경기도 성남시 분당구 야탑동 488-5,37.4127745,127.1426566,아델파크빌오피스텔 앞(중탑초교→SK뷰아파트),2,50,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J4558,경기도,성남시,시도,,매화로,3,경기도 성남시 분당구 야탑동 488-5,37.4119729,127.1339726,탑어린이공원입구 어린이보호구역(성마르코유치원)(중앙도서관→여수초교),2,30,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J4559,경기도,성남시,시도,,매화로,3,경기도 성남시 분당구 야탑동 390번지,37.4106824,127.1337737,분당야탑동성당 앞 어린이보호구역(성마르코유치원)(성남여수초교→중앙도서관),2,30,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J5326,경기도,성남시,시도,,판교대장로,2,경기도 성남시 분당구 대장동 627-5번지,37.36706901,127.0679956,판교풍경채어바니티7단지 앞 어린이보호구역(대장초교)(서판교터널→고기동),2,30,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
H2851,경기도,성남시,시도,,분당로263번길,3,경기도 성남시 분당구 분당동 67,37.3719131,127.1406773,수련어린이공원 앞 어린이보호구역(장안초교)(분당남부교회→분,2,30,2.0,2022,경기도남부경찰청,031-888-3952,2025-09-08
H2852,경기도,성남시,시도,,성남대로779번길,3,경기도 성남시 분당구 이매동 107번지,37.3990353,127.1277018,분당119구조대 앞 어린이보호구역(이매초교)(이매동성당→성남아,2,30,2.0,2022,경기도남부경찰청,031-888-3952,2025-09-08
H2854,경기도,성남시,시도,,황새울로,3,경기도 성남시 분당구 정자동 189-3,37.3659604,127.1097384,성남신기초등학교 앞 어린이보호구역(분당구청→분당중학교),2,30,2.0,2022,경기도남부경찰청,031-888-3952,2025-09-08
H2855,경기도,성남시,시도,,서판교로,3,경기도 성남시 분당구 판교동 552번지 판교원마을10단지아파트,37.3946182,127.0980704,낙생초등학교 앞 어린이보호구역(낙원중학교→판교동행정복지센터),2,30,2.0,2022,경기도남부경찰청,031-888-3952,2025-09-08
분당운중-A-14,경기도,성남시,기타,,산운로,3,경기도 성남시 분당구 운중동 892-9,37.392082,127.067911,E2-1블럭 내 운중초등학교 정면,4,0,2.0,2013,경기도 성남시청,031-729-8743,2025-11-11
분당운중-A-63,경기도,성남시,기타,,판교원로,3,경기도 성남시 분당구 운중동 927-1,37.389848,127.077935,산운초등학교 정문,4,0,99.0,2013,경기도 성남시청,031-729-8743,2025-11-11
분당운중-A-119,경기도,성남시,기타,,판교로,3,경기도 성남시 분당구 운중동 927,37.38905,127.07841,산운초등학교 정문,4,0,99.0,2021,경기도 성남시청,031-729-8743,2025-11-11
분당야탑3-A-6,경기도,성남시,기타,,야탑로,3,경기도 성남시 분당구 야탑동 161,37.406209,127.145692,상탑초등학교 정문,4,0,99.0,2012,경기도 성남시청,031-729-8743,2025-11-11
분당야탑3-A-7,경기도,성남시,기타,,벌말로,3,경기도 성남시 분당구 야탑동 212,37.413924,127.139685,중탑초등학교 정문,4,0,99.0,2012,경기도 성남시청,031-729-8743,2025-11-11
분당금곡-D-1,경기도,성남시,기타,,돌마로,3,경기도 성남시 분당구 금곡동 153,37.350396,127.110802,미금역2번출구 썬프라자,4,0,99.0,2006,경기도 성남시청,031-729-8743,2025-11-11
J6047,경기도,성남시,지방도,,대왕판교로606번길,3,경기도 성남시 분당구 삼평동 639-3,37.39607853,127.1066666,화랑공원삼거리(판교테크노중앙사거리→낙생고등학교),2,60,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J6048,경기도,성남시,시도,,하오개로,3,경기도 성남시 분당구 운중동 900-3,37.3921101,127.0636388,연구원사거리 어린이보호구역(운중초교)(성산운삼거리→한국학중앙연구원),2,30,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
분당백현-D-12,경기도,성남시,기타,,판교역로,3,경기도 성남시 분당구 백현동567,37.385768,127.109101,백현마을 정문,4,0,2.0,2021,경기도 성남시청,031-729-8743,2025-11-11
분당백현-D-14,경기도,성남시,기타,,동판교로,3,경기도 성남시 분당구 백현동 546-6,37.38921,127.116771,성남화랑초등학교 맞은편,4,0,2.0,2024,경기도 성남시청,031-729-8743,2025-11-11
분당백현-D-15,경기도,성남시,기타,,동판교로,3,경기도 성남시 분당구 백현동 544,37.394597,127.11838,보평고등학교 인근,4,0,2.0,2025,경기도 성남시청,031-729-8743,2025-11-11
분당운중-D-2,경기도,성남시,기타,,운중로,3,경기도 성남시 분당구 운중동 944,37.391313,127.077331,운중주민센터사거리,4,0,2.0,2021,경기도 성남시청,031-729-8743,2025-11-11
분당운중-D-3,경기도,성남시,기타,,판교대장로,3,경기도 성남시 분당구 대장동 84-4,37.372068,127.069349,지하주차장 출입구,4,0,2.0,2021,경기도 성남시청,031-729-8743,2025-11-11
분당운중-D-4,경기도,성남시,기타,,판교대장로,3,경기도 성남시 분당구 대장동 29-1,37.371762,127.071492,클라우드베이 5차 주변,4,0,2.0,2021,경기도 성남시청,031-729-8743,2025-11-11
분당운중-D-6,경기도,성남시,기타,,판교대장로,3,경기도 성남시 분당구 대장동 187-4,37.367721,127.070795,야외주차장 앞 사거리,4,0,2.0,2021,경기도 성남시청,031-729-8743,2025-11-11
분당운중-D-7,경기도,성남시,기타,,판교대장로,3,경기도 성남시 분당구 대장동 246-1,37.365102,127.068431,야외주차장 앞 삼거리,4,0,99.0,2021,경기도 성남시청,031-729-8743,2025-11-11
분당운중-D-8,경기도,성남시,기타,,판교대장로,3,경기도 성남시 분당구 대장동 236,37.3638,127.06715,디오르나인사이트A 앞 삼거리,4,0,99.0,2021,경기도 성남시청,031-729-8743,2025-11-11
J5195,경기도,성남시,시도,,판교로,3,경기도 성남시 분당구 판교동 512번지,37.3999265,127.0951264,성내미사거리(성내미터널→성남시청),2,50,1.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J5196,경기도,성남시,시도,,운중로,3,경기도 성남시 분당구 운중동 898-6,37.3908022,127.0852289,하산운사거리(판교동행정복지센터→운중고교),2,50,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J4340,경기도,성남시,시도,,판교원로,3,경기도 성남시 분당구 운중동 921-9번지,37.3896699,127.0731649,운중하나어린이집 건너편 어린이보호구역(산운초교→운중교),2,30,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J4342,경기도,성남시,시도,,양현로,3,경기도 성남시 분당구 이매동 129-9,37.3966178,127.1252668,이매초교 앞 어린이보호구역(성남시청→분당구청),2,30,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J4345,경기도,성남시,지방도,,서현로,3,경기도 성남시 분당구 분당동 113번지 장안타운건영빌라,37.3717503,127.1474903,건영3차빌라 정문 앞(분당성요한성당→서현중학교),2,60,2.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
J4346,경기도,성남시,시도,,양현로,3,경기도 성남시 분당구 이매동 118번지,37.3929075,127.1248472,안말초교 정문 건너편 어린이보호구역(이매초교→분당소방서),2,30,99.0,2024,경기도남부경찰청,031-888-3952,2025-09-08
분당금곡-D-2,경기도,성남시,기타,,돌마로,3,경기도 성남시 분당구 금곡동 166,37.350382,127.107131,미금역7번출구 이코노샤르망,4,0,2.0,2006,경기도 성남시청,031-729-8743,2025-11-11
분당금곡-D-4,경기도,성남시,지방도,,대왕판교로,3,경기도 성남시 분당구 금곡동 90-4,37.362915,127.102249,국지도23호쇳골 입구 삼거리,4,0,2.0,2011,경기도 성남시청,031-729-8743,2025-11-11
분당금곡-D-5,경기도,성남시,기타,,성남대로172번길,3,경기도 성남시 분당구 금곡동 146,37.351566,127.11073,청솔어린이공원 앞,4,0,2.0,2020,경기도 성남시청,031-729-8743,2025-11-11
분당금곡-A-9,경기도,성남시,기타,,정자일로6번길,3,경기도 성남시 분당구 금곡동 199-2번지,37.350586,127.107925,천사의도시1차 오피스텔 주차장입구,4,0,2.0,2020,경기도 성남시청,031-729-8743,2025-11-11
분당궁내-D-1,경기도,성남시,지방도,,대왕판교로,3,경기도 성남시 분당구 궁내동 302-8,37.375802,127.101376,GS충전소앞,4,0,99.0,2011,경기도 성남시청,031-729-8743,2025-11-11
분당구미-D-2,경기도,성남시,일반국도,,성남대로,3,경기도 성남시 분당구 구미동 185-3,37.338851,127.109393,오리역3번출구 오랜지약국앞,4,0,2.0,2006,경기도 성남시청,031-729-8743,2025-11-11
분당구미-D-3,경기도,성남시,기타,,돌마로,3,경기도 성남시 분당구 구미1동 24-2,37.349687,127.110382,미금역 3번출구 현대벤처빌,4,0,2.0,2006,경기도 성남시청,031-729-8743,2025-11-11
분당구미-A-16,경기도,성남시,기타,,미금로,3,경기도 성남시 분당구 구미동 215,37.337755,127.118399,구미초등학교 주변,4,0,2.0,2014,경기도 성남시청,031-729-8743,2025-11-11
