안전표지일련번호,도로종류,도로노선번호,도로노선명,도로노선방향,도로형태,차로수,도로폭,소재지도로명주소,소재지지번주소,위도,경도,안전표지구분,안전표지종별일련번호,주행제한속도,안전표지설명,지주형식,제2외국어표기여부,설치일자,관리기관명,관리기관전화번호,데이터기준일자
,시도,,수정로,3,2,,,경기도 성남시 수정구 수정로 270,경기도 성남시 수정구 신흥동 1741-2,37.448641,127.145871,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,경기도 성남시 수정구 수정로 289,경기도 성남시 수정구 신흥동10,37.454143,127.144239,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,경기도 성남시 수정구 수정남로 261,경기도 성남시 수정구 산성동2136,37.452211,127.150069,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,경기도 성남시 수정구 수정로 283,경기도 성남시 수정구 신흥동30,37.450764,127.145928,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,경기도 성남시 수정구 수정로366번길 7,경기도 성남시 수정구 산성동6,37.456662,127.15072,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,경기도 성남시 수정구 수정로 지하 365,경기도 성남시 수정구 산성동2217,37.456526,127.149942,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,경기도 성남시 수정구 수정로 398,경기도 성남시 수정구 산성동4,37.458877,127.153989,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,경기도 성남시 수정구 수정로456번길 8,경기도 성남시 수정구 산성동 2,37.461437,127.154143,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,,경기도 성남시 수정구 단대동 산164-2,37.4625008211,127.155745,1,140,,위험 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,,경기도 성남시 수정구 수진동 2995,37.4397463249,127.128474055,1,140,,위험 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,,경기도 성남시 수정구 태평동 7286-2,37.4403304619,127.1206204905,3,304,,회전 교차로 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,경기도 성남시 수정구 수정로 253,경기도 성남시 수정구 신흥동 112,37.447525,127.145131,2,211,,진입금지 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,수정로,3,2,,,,경기도 성남시 수정구 신흥동 75,37.4485718813,127.1444540217,2,218,,주정차금지 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,여수대로,3,2,,,경기도 성남시 수정구 여수대로 32,경기도 성남시 수정구 시흥동 87-6,37.422137,127.105824,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,여수대로,3,2,,,,경기도 성남시 수정구 시흥동83-6,37.420905,127.104023,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,여수대로,3,2,,,,경기도 성남시 수정구 사송동650-10,37.421762,127.116831,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,탄리로,3,1,,,경기도 성남시 수정구 탄리로 19,경기도 성남시 수정구 수진동1967,37.438573,127.139027,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,탄리로,3,1,,,경기도 성남시 수정구 탄리로 39,경기도 성남시 수정구 수진동664,37.439656,127.137203,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,탄리로,3,1,,,경기도 성남시 수정구 남문로 128,경기도 성남시 수정구 태평동7290,37.447862,127.140889,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,탄리로,3,2,,,경기도 성남시 수정구 남문로 65,경기도 성남시 수정구 태평동3799,37.446172,127.13406,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,탄리로,3,2,,,,경기도 성남시 수정구 수진동 664-2,37.439067,127.1374739377,3,322,,신호준수 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,공원로,3,2,,,,경기도 성남시 수정구 신흥동2550,37.442986,127.150889,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,공원로,3,2,,,,경기도 성남시 수정구 신흥동2840,37.444042,127.149669,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,공원로,3,2,,,,경기도 성남시 수정구 신흥동2859,37.444842,127.148081,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,공원로,3,1,,,,경기도 성남시 수정구 신흥동1822-1,37.445609,127.146589,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,공원로,3,1,,,,경기도 성남시 수정구 신흥동119,37.447138,127.144454,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,공원로,3,2,,,,경기도 성남시 수정구 신흥동93,37.448688,127.143081,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,공원로,3,1,,,경기도 성남시 수정구 수정로271번길 13,경기도 성남시 수정구 신흥동47,37.449638,127.144273,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,공원로,3,2,,,경기도 성남시 수정구 공원로 432,경기도 성남시 수정구 신흥동89,37.449077,127.143242,1,140,,위험 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,공원로,3,1,,,경기도 성남시 수정구 산성대로 341,경기도 성남시 수정구 신흥동2463-1,37.444545,127.153096,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,공원로,3,2,,,경기도 성남시 수정구 공원로 436번길 10,경기도 성남시 수정구 신흥동 48,37.449545,127.1438867923,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,산성대로,3,2,,,,경기도 성남시 수정구 신흥동2458,37.445191,127.155621,3,311,,유턴 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,산성대로,3,1,,,경기도 성남시 수정구 산성대로 405,경기도 성남시 수정구 단대동 161-1,37.448193,127.157972,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,산성대로,3,2,,,경기도 성남시 수정구 산성대로 445,경기도 성남시 수정구 단대동 96,37.4451431532,127.1566878859,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,산성대로,3,2,,,경기도 성남시 수정구 산성대로 451,경기도 성남시 수정구 단대동75,37.453351,127.159145,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,산성대로,3,2,,,경기도 성남시 수정구 산성대로 475,경기도 성남시 수정구 단대동 69-1,37.454132,127.160507,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,산성대로,3,1,,,경기도 성남시 수정구 산성대로 527,경기도 성남시 수정구 양지동 528,37.458079,127.163839,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,산성대로,3,1,,,경기도 성남시 수정구 산성대로 527,경기도 성남시 수정구 양지동528,37.458079,127.163839,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,산성대로,3,2,,,경기도 성남시 수정구 산성대로 527,경기도 성남시 수정구 양지동528,37.458079,127.163839,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,산성대로,3,2,,,경기도 성남시 수정구 산성대로 553,경기도 성남시 수정구 양지동212,37.460978,127.165147,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,산성대로,3,1,,,경기도 성남시 수정구 산성대로 597,경기도 성남시 수정구 양지동24,37.463074,127.168954,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,산성대로,3,2,,,경기도 성남시 수정구 산성대로 597,경기도 성남시 수정구 양지동24,37.463074,127.168954,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,산성대로,3,2,,,경기도 성남시 중원구 순환로 467,경기도 성남시 중원구 은행동 590,37.463173,127.170446,3,304,,회전 교차로 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,희망로,3,1,,,경기도 성남시 수정구 희망로534번길 3,경기도 성남시 수정구 산성동2137,37.4514998414,127.151474,3,329,,비보호좌회전 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,희망로,3,2,,,경기도 성남시 수정구 희망로 528,경기도 성남시 수정구 산성동2176-1,37.450643,127.152082,3,329,,비보호좌회전 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,희망로,3,2,,,경기도 성남시 수정구 희망로518번길 8,경기도 성남시 수정구 단대동192,37.450397,127.153922,3,329,,비보호좌회전 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,희망로,3,2,,,경기도 성남시 수정구 희망로506번길 5,경기도 성남시 수정구 단대동 190-1,37.449415,127.153884,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,희망로,3,2,,,경기도 성남시 수정구 희망로 496,경기도 성남시 수정구 단대동189,37.449114,127.154109,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,희망로,3,2,,,경기도 성남시 수정구 희망로 480,경기도 성남시 수정구 단대동183,37.447296,127.155263,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,희망로,3,1,,,경기도 성남시 수정구 희망로 477,경기도 성남시 수정구 신흥동2457,37.446818,127.154276,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,남문로,3,1,,,경기도 성남시 수정구 남문로12번길 19-2,경기도 성남시 수정구 태평동 5875,37.442732,127.12924,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,남문로,3,1,,,경기도 성남시 수정구 남문로60번길 1,경기도 성남시 수정구 태평동3786-1,37.445769,127.133557,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,남문로,3,1,,,경기도 성남시 수정구 남문로 54,경기도 성남시 수정구 태평동3752-1,37.445341,127.133073,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,남문로,3,1,,,경기도 성남시 수정구 남문로 85,경기도 성남시 수정구 태평동2991-2,37.446873,127.13584,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,남문로,3,1,,,경기도 성남시 수정구 남문로 96-1,경기도 성남시 수정구 태평동3307-73,37.446893,127.137415,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,남문로,3,1,,,경기도 성남시 수정구 남문로 112,경기도 성남시 수정구 태평동7289,37.447347,127.140558,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,남문로,3,1,,,경기도 성남시 수정구 시민로 227,경기도 성남시 수정구 태평동2370,37.448078,127.140532,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,논골로,3,1,,,경기도 성남시 수정구 논골로 24,경기도 성남시 수정구 양지동1021,37.456613,127.160264,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,논골로,3,1,,,경기도 성남시 수정구 논골로 34,경기도 성남시 수정구 양지동743-1,37.4571998465,127.159673,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,논골로,3,1,,,,경기도 성남시 수정구 양지동 산74,37.458569,127.158501,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,논골로,3,1,,,경기도 성남시 수정구 논골로 79,경기도 성남시 수정구 단대동10,37.460916,127.157407,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,논골로,3,1,,,경기도 성남시 수정구 수정로466번길 28,경기도 성남시 수정구 단대동 4-2,37.462233,127.159245,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,탄천로,3,2,,,경기도 성남시 수정구 탄천로 809,경기도 성남시 수정구 복정동 270-2,37.466739,127.12464,1,140,,위험 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,탄천로,3,2,,,,경기도 성남시 수정구 태평동6996,37.451613,127.121482,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,탄천로,3,1,,,,경기도 성남시 수정구 태평동7042,37.447175,127.119588,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,탄천로,3,2,,,,경기도 성남시 수정구 태평동7071,37.444709,127.119413,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,탄천로,3,1,,,,경기도 성남시 수정구 태평동7003-2,37.454001,127.11881,3,329,,비보호좌회전 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,탄천로,3,1,,,,경기도 성남시 수정구 수진2동,37.435935,127.119699,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,태평로,3,1,,,,경기도 성남시 수정구 태평동 5090,37.448322,127.129569,3,329,,비보호좌회전 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,태평로,3,1,,,,경기도 성남시 수정구 태평동5090,37.448002,127.128514,2,211,,진입금지 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,태평로,3,1,,,경기도 성남시 수정구 태평로 10,경기도 성남시 수정구 태평동 5104,37.447866,127.128019,3,329,,비보호좌회전 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,태평로,3,2,,,,경기도 성남시 수정구 태평동 7003-13,37.444769169,127.1175900955,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,달래내로,3,2,,,,경기도 성남시 수정구 금토동288-1,37.407983,127.09786,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,달래내로,3,2,,,,경기도 성남시 수정구 금토동287-5,37.408684,127.096133,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,달래내로,3,2,,,경기도 성남시 수정구 대왕판교로753번길 18,경기도 성남시 수정구 금토동286,37.407695,127.097734,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,달래내로,3,2,,,경기도 성남시 수정구 달래내로27번길 26,경기도 성남시 수정구 금토동288-7,37.408518,127.098711,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,달래내로,3,1,,,,경기도 성남시 수정구 금토동57,37.417472,127.081451,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,달래내로,3,2,,,경기도 성남시 수정구 달래내로 10,,37.4101524798,127.0983595012,1,140,,위험 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,달래내로,3,2,,,,경기도 성남시 수정구 시흥동 281-24,37.410873,127.099178,1,140,,위험 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,청계산로,3,2,,,,경기도 성남시 수정구 고등동 497-17,37.428561,127.093732,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,청계산로,3,2,,,경기도 성남시 수정구 적푸리로 34,경기도 성남시 수정구 상적동 95-2,37.433741,127.084471,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,청계산로,3,1,,,,경기도 성남시 수정구 상적동 산14-1,37.432637,127.081578,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,청계산로,3,1,,,경기도 성남시 수정구 청계산로 458,경기도 성남시 수정구 상적동 173-4,37.430537,127.073165,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,청계산로,3,1,,,,경기도 성남시 수정구 상적동 173-5,37.430511,127.071672,4,405,,시간 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,청계산로,3,2,,,경기도 성남시 수정구 청계산로 458,경기도 성남시 수정구 상적동 173-4,37.4305388081,127.0731640251,3,329,,비보호좌회전 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,청계산로,3,2,,,,경기도 성남시 수정구 고등동 526-39,37.4293366926,127.0911101335,3,304,,회전 교차로 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,시민로,3,1,,,경기도 성남시 수정구 시민로 141,경기도 성남시 수정구 신흥동4510,37.440848,127.143764,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,시도,,시민로,3,1,,,경기도 성남시 수정구 시민로 155,경기도 성남시 수정구 신흥동4517,37.44188,127.143273,3,322,,횡단보도 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,국가지원지방도,23.0,대왕판교로,3,2,,,,경기도 성남시 수정구 신촌동 119-4,37.459904,127.107415,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,국가지원지방도,23.0,대왕판교로,3,2,,,,경기도 성남시 수정구 신촌동 109-5,37.457928,127.107574,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,국가지원지방도,23.0,대왕판교로,3,2,,,,경기도 성남시 수정구 오야동 227-1,37.455379,127.10696,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,국가지원지방도,23.0,대왕판교로,3,1,,,,경기도 성남시 수정구 심곡동 260-17,37.449567,127.10522,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,국가지원지방도,23.0,대왕판교로,3,2,,,,경기도 성남시 수정구 심곡동 220-13,37.44824,127.104848,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,국가지원지방도,23.0,대왕판교로,3,2,,,,경기도 성남시 수정구 심곡동 211-7,37.446105,127.103712,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,국가지원지방도,23.0,대왕판교로,3,2,,,,경기도 성남시 수정구 심곡동 209-7,37.444886,127.103599,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,국가지원지방도,23.0,대왕판교로,3,2,,,,경기도 성남시 수정구 고등동 94-1,37.438213,127.104084,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,국가지원지방도,23.0,대왕판교로,3,2,,,,경기도 성남시 수정구 고등동 1-11,37.435286,127.103856,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
,국가지원지방도,23.0,대왕판교로,3,2,,,,경기도 성남시 수정구 고등동 282-2,37.432696,127.103345,2,224,,최고속도제한 표지,2,,,경기도 성남시청,031-729-3675,2025-12-26
