안전시설명,안전시설전화번호,소재지도로명주소,소재지지번주소,위도,경도,현존주소여부
(분당)나라부동산,031-8016-6700,경기도 성남시 분당구 동판교로52번길 5,경기도 성남시 분당구 백현동 604번지,37.3875353299,127.1145732421,S
(분당)아름문구,031-704-0450,경기도 성남시 분당구 장안로52번길 3,경기도 성남시 분당구 분당동 118-1번지,37.3709008768,127.1449714819,S
(분당)라이프마트,031-702-0724,,경기도 성남시 분당구 분당동 34번지 샛별마을라이프아파트,37.3741546863,127.1302055303,S
(분당)부연정육점,031-702-4070,,경기도 성남시 분당구 분당동 39번지 샛별마을삼부아파트,37.3703315107,127.1297838339,S
(분당)GS25 분당샛별마을점,031-705-0219,,경기도 성남시 분당구 분당동 39번지 샛별마을삼부아파트,37.3703315107,127.1297838339,S
(분당)분당우리약국,031-703-5248,경기도 성남시 분당구 장안로 27,경기도 성남시 분당구 분당동 90-6번지,37.3697306265,127.1424923521,S
(분당)삼평동우체국,031-8017-3004,경기도 성남시 분당구 동판교로266번길 20,경기도 성남시 분당구 삼평동 715번지 삼평동우체국,37.406478349,127.1161372282,S
(분당)CU 동판교골드점,,,경기도 성남시 분당구 삼평동 728번지 봇들마을6단지아파트 제4상가동 101호,37.4003675333,127.1190833939,S
(분당)CU 판교월드마크점,031-702-0135,경기도 성남시 분당구 대왕판교로606번길 58,경기도 성남시 분당구 삼평동 741번지,37.3954464194,127.1136515168,S
(분당)분당우체국,031-725-8000,경기도 성남시 분당구 황새울로 347,경기도 성남시 분당구 서현동 257번지,37.3868871926,127.1232296048,S
(분당)삼성스토어,031-705-5544,경기도 성남시 분당구 황새울로311번길 28,경기도 성남시 분당구 서현동 275번지,37.3860224815,127.1206018998,S
(분당)중앙약국,031-703-7060,경기도 성남시 분당구 돌마로 478,경기도 성남시 분당구 서현동 298-3번지,37.37699514,127.1334558181,S
(분당)엄마약국,031-707-5440,경기도 성남시 분당구 불정로 379,경기도 성남시 분당구 서현동 305-2번지,37.3743722468,127.1364164543,S
(분당)다원반찬,031-707-6219,,경기도 성남시 분당구 서현동 307번지 효자촌미래타운아파트,37.3730515676,127.1378346204,S
(분당)서현2동우체국,031-701-0106,경기도 성남시 분당구 분당로263번길 49,경기도 성남시 분당구 서현동 313번지,37.3725563056,127.1409542173,S
(분당)서현1동우체국,031-701-0004,경기도 성남시 분당구 중앙공원로39번길 31,경기도 성남시 분당구 서현동 89-2번지,37.3827327069,127.1263454361,S
(분당)피자스쿨 분당서현점,031-781-8295,경기도 성남시 분당구 중앙공원로39번길 7,경기도 성남시 분당구 서현동 89-7번지,37.3814308548,127.1279784602,S
(분당)올림픽스포츠센터,02-3434-7906,경기도 성남시 분당구 중앙공원로 35,경기도 성남시 분당구 서현동 90번지,37.3808832226,127.1286814868,S
남건우 명품세탁소(현대세탁소),031-708-4950,,경기도 성남시 분당구 서현동 92번지 현대아파트,37.3761122407,127.1307041855,S
(분당)정문약국,031-703-3119,경기도 성남시 분당구 중앙공원로40번길 42,경기도 성남시 분당구 서현동 94-3번지,37.3781816137,127.1323770093,S
(분당)안경박사 초림점,031-711-8646,,경기도 성남시 분당구 수내동 32번지 양지마을금호아파트,37.3759788963,127.1171172326,S
(분당)세븐일레븐 초림점,031-712-9165,경기도 성남시 분당구 내정로165번길 50,경기도 성남시 분당구 수내동 33-1번지,37.3771093399,127.1154850154,S
(분당)한솥도시락 분당수내역점,031-711-7008,경기도 성남시 분당구 내정로173번길 49,경기도 성남시 분당구 수내동 33-2번지,37.3773719103,127.1158451142,S
(분당)금호세탁소,031-712-2530,,경기도 성남시 분당구 수내동 34번지 양지마을,37.3781530137,127.1176709351,S
(분당)경신바이크,031-718-3091,,경기도 성남시 분당구 수내동 56번지 파크타운대림아파트,37.3730961063,127.1204185367,S
(분당)수내동우체국,031-711-0004,경기도 성남시 분당구 내정로166번길 27,경기도 성남시 분당구 수내동 61번지,37.3716126517,127.1216118932,S
(분당)유정약국,031-708-0927,,경기도 성남시 분당구 야탑동 165번지 목련마을아파트,37.4082997547,127.1392356593,S
(분당)파리바게트 상탑점,031-702-0268,경기도 성남시 분당구 야탑로 253,경기도 성남시 분당구 야탑동 175-5번지,37.4069970005,127.1466091343,S
(분당)파리바게트 분당중탑점,031-706-8203,경기도 성남시 분당구 벌말로 48,경기도 성남시 분당구 야탑동 272-1번지,37.4120661387,127.1387881899,S
(분당)한국야쿠르트 야탑점,031-704-2918,경기도 성남시 분당구 야탑로161번길 16-8,경기도 성남시 분당구 야탑동 306-4번지,37.4109897136,127.1375503554,S
(분당)세븐일레븐 야탑엔즈빌점,,경기도 성남시 분당구 장미로48번길 14,경기도 성남시 분당구 야탑동 342-3번지,37.4126557442,127.1254962336,S
(분당)탑마을 오렌지약국,031-705-7634,경기도 성남시 분당구 야탑로69번길 21,경기도 성남시 분당구 야탑동 353-1번지,37.4116399237,127.1263601001,S
(분당)홈케어굿모닝약국,031-707-1661,경기도 성남시 분당구 야탑로69번길 3,경기도 성남시 분당구 야탑동 354-6번지,37.410080569,127.126367845,S
(분당)탑마을약국,031-703-5773,경기도 성남시 분당구 성남대로916번길 20,경기도 성남시 분당구 야탑동 367-5번지,37.4101633776,127.1297687038,S
(분당)야탑동우체국,031-709-8003,경기도 성남시 분당구 장미로86번길 17,경기도 성남시 분당구 야탑동 374번지,37.4120682541,127.1307198447,S
(분당)GS25 프리아점,031-703-6525,경기도 성남시 분당구 야탑로 106,경기도 성남시 분당구 야탑동 514-4번지,37.4095800374,127.1305851612,S
CU서판교중앙점,,경기도 성남시 분당구 운중로126번길 5,경기도 성남시 분당구 운중동 933번지,37.3910137951,127.0773882574,S
(분당)운중동우체국,031-701-8302,경기도 성남시 분당구 운중로138번길 7-1,경기도 성남시 분당구 운중동 937번지,37.3908832271,127.078688144,S
(분당)산운명품크리닝,031-8017-7005,경기도 성남시 분당구 운중로113번길 4-15,경기도 성남시 분당구 운중동 981-3번지,37.3930572928,127.0766537571,S
CU이매진흥점,031-778-6561,경기도 성남시 분당구 양현로 138,경기도 성남시 분당구 이매동 111번지 근린상가 103 106호,37.3967717243,127.1277896688,S
도우미공인중개사,031-701-3456,경기도 성남시 분당구 양현로94번길 7,경기도 성남시 분당구 이매동 120-1 도우미공인중개사사무소,37.3918427159,127.1254190453,S
(분당)CU 이매아름점,031-704-3235,,"경기도 성남시 분당구 이매동 133번지 아름마을두산,삼호아파트",37.4006078784,127.1209464237,S
(분당)GS25 이매아름점,,경기도 성남시 분당구 탄천로 95,"경기도 성남시 분당구 이매동 133번지 아름마을두산,삼호아파트 상가동 103호",37.4006078784,127.1209464237,S
(분당)비엠디온누리약국,031-707-1959,경기도 성남시 분당구 성남대로779번길 50,경기도 성남시 분당구 이매동 137-5번지,37.3994878216,127.1230309515,S
(분당)CU 분당이매점,031-709-0350,경기도 성남시 분당구 판교로 476,경기도 성남시 분당구 이매동 97-5번지,37.4051420711,127.1266974461,S
예지현 아뜰리에 미술교습소,,경기도 성남시 분당구 내정로 54,경기도 성남시 분당구 정자동 117번지 한솔마을 상가,37.3643491488,127.1165213367,S
(분당)하늘미용실,031-721-4999,경기도 성남시 분당구 내정로 55,경기도 성남시 분당구 정자동 121번지 상록마을 분산상가 103호,37.3638861397,127.1127405538,S
(분당)CU 분당정자점,031-786-1956,경기도 성남시 분당구 내정로17번길 3,경기도 성남시 분당구 정자동 133-1번지,37.3615471983,127.1141641482,S
(분당)CU 폴라리스점,031-716-2258,경기도 성남시 분당구 성남대로 381,경기도 성남시 분당구 정자동 15-3번지,37.3702777287,127.1075125036,S
(분당)뜨락꽃집,031-712-6473,경기도 성남시 분당구 내정로 24,경기도 성남시 분당구 정자동 191번지,37.3629248787,127.1164947061,S
(분당)24시공인중개사,031-712-5700,,경기도 성남시 분당구 정자동 197번지 정든마을,37.3632063335,127.1199150079,S
(분당)정자동우체국,031-714-9004,경기도 성남시 분당구 정자일로198번길 6,경기도 성남시 분당구 정자동 20번지,37.3677051594,127.1064191398,S
(분당)백현공인중개사,031-717-7050,경기도 성남시 분당구 백현로144번길 24,경기도 성남시 분당구 정자동 37-8번지,37.3721050822,127.112235246,S
(분당)GS25 정자으뜸점,,경기도 성남시 분당구 백현로144번길 7-6,경기도 성남시 분당구 정자동 44-3번지,37.3726067809,127.1140510393,S
(분당)CU 정자플라워점,031-716-7297,경기도 성남시 분당구 내정로119번길 11-1,경기도 성남시 분당구 정자동 53-1번지,37.3715077411,127.1142486695,S
(분당)연세부동산,031-703-8924,경기도 성남시 분당구 느티로 65,경기도 성남시 분당구 정자동 65-1번지 구미빌딩 1층,37.3687686953,127.1118458453,S
(분당)참시루,031-714-5033,경기도 성남시 분당구 느티로77번길 3,경기도 성남시 분당구 정자동 65-6번지 101호 정자동 65-6,37.3687814098,127.1129751484,S
(분당)GS25 분당느티점,031-715-3185,경기도 성남시 분당구 느티로69번길 5,경기도 성남시 분당구 정자동 66-13번지,37.3690855069,127.1122507875,S
(분당)GS25 파빌리온점,031-785-4025,경기도 성남시 분당구 성남대로 393,경기도 성남시 분당구 정자동 7번지,37.371619638,127.1071666893,S
(분당)꿈꾸는 약국,031-8017-2700,경기도 성남시 분당구 서판교로 36,경기도 성남시 분당구 판교동 577-3번지 1층,37.3899675687,127.0978866238,S
(분당)모닝글로리 판교1호점,031-8016-0737,경기도 성남시 분당구 운중로 253,경기도 성남시 분당구 판교동 591번지,37.3895299736,127.091189964,S
(분당)럭키공인중개사,031-8016-7777,,경기도 성남시 분당구 판교동 629번지 판교원마을3단지아파트,37.3871871764,127.0862322525,S
(분당)판교원약국,031-709-7577,,경기도 성남시 분당구 판교동 634번지 판교원마을5단지아파트,37.3880213996,127.0876510347,S
(분당)모아분식,031-8016-5090,,경기도 성남시 분당구 판교동 637번지 판교원마을7단지아파트,37.388152726,127.0917283817,S
[성남시수정구] 고등동우체국,031-723-9990,경기도 성남시 수정구 대왕판교로982번길 2,경기도 성남시 수정구 고등동 419-53번지,37.4279036221,127.1023856713,S
[성남시수정구] CU 성남고등행복점,031-755-0723,,경기도 성남시 수정구 고등동 578번지 고등마을,37.4306005223,127.1002464501,S
[성남시수정구]이지수학,,,경기도 성남시 수정구 고등동 592번지 판교밸리호반써밋,37.4277943045,127.0967236768,S
[성남시수정구] 레전드태권도,031-8039-7371,경기도 성남시 수정구 고등로 34,경기도 성남시 수정구 고등동 592번지 판교밸리호반써밋 228동 105호,37.4277943045,127.0967236768,S
[성남시수정구] 예탑태권도아카데미,031-747-6636,경기도 성남시 수정구 산성대로 425,경기도 성남시 수정구 단대동 111-2번지,37.4499109746,127.1587420758,S
[성남시수정구] 진로세탁소,031-748-0340,,경기도 성남시 수정구 단대동 124번지 진로아파트,37.4506420577,127.1559687855,S
[성남시수정구] 용마태권도,,,경기도 성남시 수정구 단대동 124번지 진로아파트,37.4506420577,127.1559687855,S
[성남시수정구] 부동산여기로,031-748-0606,경기도 성남시 수정구 논골로 33,경기도 성남시 수정구 단대동 56-1번지,37.4568801992,127.1593096786,S
[성남시수정구] GS25 성남복지회관점,031-747-8279,경기도 성남시 수정구 산성대로475번길 10,경기도 성남시 수정구 단대동 64-7번지,37.4545380703,127.1598064857,S
자광원,031-759-5320,경기도 성남시 수정구 남위례로 134,경기도 성남시 수정구 복정동 116-3,37.4594524568,127.1391822862,S
[성남시수정구] CU 성남복정타운점,031-705-5145,경기도 성남시 수정구 성남대로1542번길 23-6,경기도 성남시 수정구 복정동 631-15번지,37.4673813168,127.1294188639,S
[성남시수정구] 행운세탁소,031-753-6421,경기도 성남시 수정구 복정로118번길 5-12,경기도 성남시 수정구 복정동 650-1번지,37.4645640849,127.1278383296,S
[성남시수정구] 블랙벨트센터 태권도장,031-752-9993,경기도 성남시 수정구 성남대로1480번길 19,경기도 성남시 수정구 복정동 664-8번지,37.4620417905,127.1283257548,S
[성남시수정구] 독수리태권도,031-721-2276,경기도 성남시 수정구 성남대로1480번길 7,경기도 성남시 수정구 복정동 664번지,37.4621550479,127.127081345,S
[성남시수정구] 줄리어드음악학원,031-753-4385,경기도 성남시 수정구 성남대로1480번길 28-1,경기도 성남시 수정구 복정동 668-4번지,37.4616932817,127.1292886302,S
[성남시수정구] 휴베이스 복정약국,031-759-5398,경기도 성남시 수정구 복정로 86,경기도 성남시 수정구 복정동 678-7번지,37.4605953139,127.1269647087,S
[성남시수정구] CU 성남복정점,031-755-3690,경기도 성남시 수정구 복정로32번길 1,경기도 성남시 수정구 복정동 695-1번지,37.4560181835,127.1275414769,S
실버릿지그랜드,031-723-5812,경기도 성남시 수정구 사송로80번길 7,경기도 성남시 수정구 사송동 507,37.4148691086,127.1103085023,S
[성남시수정구] 꿈돌이문구,031-742-7825,경기도 성남시 수정구 희망로534번길 6,경기도 성남시 수정구 산성동 2171번지,37.4510984793,127.1517721453,S
[성남시수정구] 새강약국,031-747-4655,경기도 성남시 수정구 수정남로324번길 2,경기도 성남시 수정구 산성동 402번지,37.4564669372,127.1535789686,S
[성남시수정구] 바른태권도,031-742-3425,경기도 성남시 수정구 수정남로306번길 21-1,경기도 성남시 수정구 산성동 538번지,37.4549361538,127.1541061347,S
[성남시수정구] 모란마트,031-752-4469,경기도 성남시 수정구 성남대로1194번길 15,경기도 성남시 수정구 수진동 3809번지,37.43688169,127.13028145,S
[성남시수정구] 대진설비,031-721-7831,경기도 성남시 수정구 성남대로1194번길 11,경기도 성남시 수정구 수진동 3855번지,37.4367632754,127.129886396,S
[성남시수정구] CU 성남모란월드점,,경기도 성남시 수정구 성남대로1180번길 6,경기도 성남시 수정구 수진동 4523번지,37.4350852982,127.1294312094,S
[성남시수정구] 이삭빵집,031-753-0960,경기도 성남시 수정구 성남대로1221번길 14-1,경기도 성남시 수정구 수진동 4542-5번지,37.4388158582,127.1262137242,S
인보의집,031-751-1937,경기도 성남시 수정구 탄리로 49,경기도 성남시 수정구 수진동 661,37.4404441781,127.1367639848,S
[성남시수정구] 신촌슈퍼,031-723-7385,경기도 성남시 수정구 신촌남로 3,경기도 성남시 수정구 신촌동 108-3번지,37.4592150328,127.1071272995,S
[성남시수정구] CU성남파라디움점,,,경기도 성남시 수정구 신흥동 2465-7번지 신동아파라디움,37.4436090596,127.1521007862,S
[성남시수정구] 태영약국,031-732-5001,,경기도 성남시 수정구 신흥동 2465-7번지 신동아파라디움,37.4436090596,127.1521007862,S
[성남시수정구] 까꼬보꼬,,경기도 성남시 수정구 공원로367번길 21-1,경기도 성남시 수정구 신흥동 2785번지,37.4431503169,127.1463487331,S
[성남시수정구]GS25수정행복점,031-747-1233,경기도 성남시 수정구 공원로 367,경기도 성남시 수정구 신흥동 2833-1번지,37.4444259569,127.1479254371,S
[성남시수정구] 신흥선후합기도체육관,031-745-2399,경기도 성남시 수정구 수정로 224-2,경기도 성남시 수정구 신흥동 3417번지,37.445046994,127.1446101177,S
[성남시수정구] 백세약국,031-731-9655,경기도 성남시 수정구 수정로 208,경기도 성남시 수정구 신흥동 3436-13번지,37.4439419533,127.142829157,S
[성남시수정구] 아이비클럽 성남점,031-751-6234,경기도 성남시 수정구 시민로 135,경기도 성남시 수정구 신흥동 4506번지,37.44021398,127.1440564497,S
[성남시수정구] 리틀바하피아노,031-741-2277,경기도 성남시 수정구 논골로36번길 34,경기도 성남시 수정구 양지동 387번지,37.4592309379,127.1618092327,S
[성남시수정구] 농장정육점,031-745-9340,경기도 성남시 수정구 산성대로515번길 16,경기도 성남시 수정구 양지동 479번지,37.4579964667,127.1619504772,S
[성남시수정구] 용인대승리태권도,031-736-4515,경기도 성남시 수정구 산성대로 519-1,경기도 성남시 수정구 양지동 532번지,37.457658243,127.1634558379,S
[성남시수정구] GS25 양지일등점,,경기도 성남시 수정구 산성대로515번길 17,경기도 성남시 수정구 양지동 710번지,37.4579504604,127.1616227784,S
[성남시수정구] CU 위례한마음점,,,경기도 성남시 수정구 창곡동 500번지 위례LH31단지아파트정문 1층 상가동 105 106호,37.4727350625,127.1350923281,S
[성남시수정구] 위례수약국,031-756-0365,경기도 성남시 수정구 위례서일로 18,경기도 성남시 수정구 창곡동 559-4번지,37.465108881,127.1378207406,S
[성남시수정구] 태광안경,031-755-9624,경기도 성남시 수정구 남문로 111-1,경기도 성남시 수정구 태평동 2643번지,37.4476169294,127.1390017205,S
[성남시수정구] 한양대탑수정태권도,031-753-6651,경기도 성남시 수정구 남문로 105,경기도 성남시 수정구 태평동 2705번지,37.4474254323,127.1382790883,S
[성남시수정구] 함약국,031-756-5635,경기도 성남시 수정구 남문로69번길 5-8,경기도 성남시 수정구 태평동 3155번지,37.4468818054,127.1344378615,S
[성남시수정구] 동성태비태권도,031-753-3256,경기도 성남시 수정구 탄리로 79,경기도 성남시 수정구 태평동 3521번지,37.4430005186,127.1356098387,S
[성남시수정구] CU 뉴성남태평동점,,경기도 성남시 수정구 탄리로95번길 23,경기도 성남시 수정구 태평동 3617번지,37.4435504724,127.1327357215,S
[성남시수정구] 보령온누리약국,031-753-3993,경기도 성남시 수정구 남문로 66,경기도 성남시 수정구 태평동 3798번지,37.4459075709,127.1341938857,S
[성남시수정구] CU 태평성대점,031-753-1129,경기도 성남시 수정구 남문로43번길 16-1,경기도 성남시 수정구 태평동 4550번지,37.44671853,127.1312053121,S
[성남시수정구] CU 태평빌리지점,031-758-0973,경기도 성남시 수정구 성남대로1258번길 7,경기도 성남시 수정구 태평동 6064번지,37.4423645005,127.1281970118,S
[성남시수정구] 행복이열리는약국,031-757-5701,경기도 성남시 수정구 수정로 89,경기도 성남시 수정구 태평동 6452번지,37.4406943957,127.1302513879,S
[성남시수정구] 온누리한솔약국,031-757-1665,경기도 성남시 수정구 성남대로 1275-1,경기도 성남시 수정구 태평동 6795번지,37.4438018599,127.1266637302,S
[성남시수정구] 태평약국,031-751-4327,경기도 성남시 수정구 성남대로 1251,경기도 성남시 수정구 태평동 6827번지,37.4414686319,127.1270822884,S
[성남시수정구] 태평아이태권도,031-721-6314,경기도 성남시 수정구 모란로 84,경기도 성남시 수정구 태평동 6940번지 태화빌딩 203호,37.4403744543,127.1259685786,S
[성남시수정구] 굿모닝세탁소,031-754-2589,경기도 성남시 수정구 시민로205번길 12-2,경기도 성남시 수정구 태평동 7311-9번지,37.4459717885,127.1404340916,S
[성남시수정구]GS25태평프리미엄점,,,경기도 성남시 수정구 태평동 7327-1번지 신한주택,37.4455922914,127.1431039425,S
[성남시수정구] 한국야쿠르트 신흥점,031-742-5410,,경기도 성남시 수정구 태평동 7337-2번지 엘지빌리지,37.4452408303,127.1431282223,S
[성남시수정구]동부센트레빌 1단지 경비실,,경기도 성남시 수정구 태평로 28,경기도 성남시 수정구 태평동 7343번지 가천대역동부센트레빌1단지 경비실,37.4478505284,127.1300126706,S
풍년문구,031-747-1210,경기도 성남시 중원구 금빛로42번길 11,경기도 성남시 중원구 금광동 2351번지,37.4460457587,127.1688326613,S
크린토피아 신구대점,031-744-0365,경기도 성남시 중원구 금빛로42번길 1,경기도 성남시 중원구 금광동 2357-1번지,37.4458991624,127.167985411,S
CU삼익금광점,031-733-3323,경기도 성남시 중원구 황송로 4,경기도 성남시 중원구 금광동 2450-2번지,37.4451709327,127.1686556344,S
까치분식,031-736-1927,경기도 성남시 중원구 금빛로93번길 20,경기도 성남시 중원구 금광동 3335번지,37.4496554049,127.1639213158,S
진주중화요리,031-745-2587,경기도 성남시 중원구 산성대로448번길 10,경기도 성남시 중원구 금광동 4017번지,37.4512515248,127.1610085098,S
메디칼성심약국,031-732-6335,경기도 성남시 중원구 산성대로476번길 8,경기도 성남시 중원구 금광동 4847번지,37.4536241701,127.1617214145,S
고은에스테틱,031-736-0908,경기도 성남시 중원구 박석로33번길 14,경기도 성남시 중원구 상대원동 1358-1번지,37.4360017289,127.1646606062,S
한국야쿠르트 성남중원점,031-734-5831,,경기도 성남시 중원구 상대원동 1463번지 강남빌리지,37.4366955844,127.1645896869,S
예꿈작은도서관,070-4102-0675,경기도 성남시 중원구 둔촌대로413번길 42-1,경기도 성남시 중원구 상대원동 1487-3번지,37.4370156697,127.1630396175,S
시대약국,031-734-1426,,경기도 성남시 중원구 상대원동 179번지 궁전아파트,37.4403985024,127.1802298369,S
낙원세탁소,031-745-7010,경기도 성남시 중원구 박석로25번길 43-1,경기도 성남시 중원구 상대원동 1922-2번지,37.4349368844,127.161070801,S
수진하나약국,031-753-0510,,경기도 성남시 중원구 성남동 2508번지 보미리전빌III,37.4360144621,127.1413634291,S
뚜레쥬르 성남여수점,031-754-0453,경기도 성남시 중원구 여수울로15번길 4-6,경기도 성남시 중원구 여수동 405번지,37.4189566613,127.1313301932,S
gs25 성남연꽃점,031-755-7298,,경기도 성남시 중원구 여수동 601번지 연꽃마을아파트,37.417555396,127.1358122634,S
은행주공 관리사무소,031-747-4326,,경기도 성남시 중원구 은행동 550번지 은행주공아파트,37.4583891317,127.1669125551,S
벧엘참조은약국,031-751-4061,경기도 성남시 중원구 둔촌대로 277,경기도 성남시 중원구 하대원동 131-18번지,37.4295922728,127.1488991455,S
대하문구,031-754-0946,경기도 성남시 중원구 둔촌대로309번길 10,경기도 성남시 중원구 하대원동 138번지,37.4310533199,127.1522267207,S
하대원 현대아파트,031-754-2320,,경기도 성남시 중원구 하대원동 190번지 하대원동현대아파트,37.4323953822,127.1518927174,S
